idA,idP,first_author
a55159798000,p55,False
a54941111500,p55,False
a55258876800,p55,False
a7006038251,p55,False
a20735824800,p55,False
a55846910700,p55,False
a6602657620,p55,False
a14033765300,p55,False
a13005462200,p55,False
a55770396700,p56,True
a56735940800,p56,False
a8705255200,p56,False
a23099630500,p56,False
a57215680724,p57,True
a57205652801,p57,False
a57195427378,p57,False
a57215684781,p57,False
a57215687139,p57,False
a57215697686,p57,False
a56251876800,p57,False
a7202687601,p57,False
a7005636820,p57,False
a56514586700,p57,False
a57201634652,p58,True
a18535712500,p58,False
a57197765353,p59,True
a7004300863,p59,False
a8421746800,p59,False
a57188681207,p60,True
a36349287300,p60,False
a57189235340,p61,True
a55547123342,p61,False
a7003292762,p61,False
a25639041400,p61,False
a55967471000,p61,False
a57218221803,p61,False
a56709287700,p62,True
a56387524600,p62,False
a57202735625,p62,False
a16422844400,p62,False
a7102975249,p62,False
a7003381644,p63,True
a6701834327,p63,False
a57202445593,p64,True
a7004609408,p64,False
a8660143800,p64,False
a6506736843,p64,False
a6507359986,p65,True
a57214365851,p65,False
a57212088299,p65,False
a7003663333,p65,False
a6602889035,p65,False
a57216181629,p66,True
a36245410800,p66,False
a57191110417,p66,False
a56622088300,p66,False
a57195921912,p66,False
a57215904613,p66,False
a7402756644,p66,False
a57217317667,p66,False
a57195591421,p66,False
a57217789464,p66,False
a57216183270,p66,False
a57207901363,p66,False
a34873697600,p66,False
a56767836200,p66,False
a7102900497,p66,False
a57196422740,p67,True
a7403518015,p67,False
a36852156000,p67,False
a16245238300,p67,False
a57202776341,p68,True
a57212879455,p68,False
a57212877661,p68,False
a57212877401,p68,False
a35262249500,p68,False
a7102405529,p68,False
a7007046711,p68,False
a57212107391,p69,True
a57216754583,p69,False
a57200117690,p69,False
a35209941000,p69,False
a8342785400,p69,False
a57190228554,p70,True
a7102879142,p70,False
a57211891331,p71,True
a57199244740,p71,False
a7406665619,p71,False
a57204433875,p71,False
a7406665619,p72,True
a57215212754,p72,False
a57215211789,p72,False
a57214076898,p73,True
a57198146081,p73,False
a7006441571,p73,False
a12142543700,p73,False
a57191873151,p74,True
a57216430816,p74,False
a7003772744,p74,False
a55971908500,p75,True
a54415193700,p75,False
a56489679500,p75,False
a55522618700,p75,False
a55864283000,p75,False
a57211516485,p75,False
a57209110872,p76,True
a57206455220,p76,False
a7103248108,p76,False
a57191108291,p77,True
a57212383793,p77,False
a57212379321,p77,False
a57202904399,p77,False
a7403279876,p77,False
a57207901363,p77,False
a6507391043,p77,False
a57196261400,p78,True
a57214229367,p78,False
a7003381644,p78,False
a57214855898,p79,True
a57215031057,p79,False
a8608718200,p79,False
a6701610428,p79,False
a7410190129,p79,False
a7403218372,p79,False
a57200515115,p80,True
a57194698845,p80,False
a12142543700,p80,False
a8705255200,p80,False
a35409277700,p80,False
a57193749678,p81,True
a55457444300,p81,False
a6701863708,p81,False
a57201666213,p82,True
a55694540600,p82,False
a7004479819,p82,False
a7003545107,p82,False
a13406135400,p82,False
a57190228554,p83,True
a7102879142,p83,False
a57203017789,p84,True
a35147940600,p84,False
a6701609778,p84,False
a36987999600,p85,True
a7003868048,p85,False
a7202083837,p85,False
a56692412900,p86,True
a57211105311,p86,False
a7202518970,p86,False
a12445742400,p86,False
a7005052477,p87,True
a8750608700,p87,False
a57214071214,p87,False
a57193518829,p88,True
a12142543700,p88,False
a8705255200,p88,False
a7006583274,p88,False
a55359526600,p88,False
a56911636200,p88,False
a55272011900,p88,False
a57203486012,p88,False
a57202293242,p89,True
a57203024588,p89,False
a57160053200,p89,False
a36006215900,p89,False
a55944615300,p89,False
a57191995369,p90,True
a7003381644,p90,False
a57195515828,p91,True
a57211443769,p91,False
a57211435896,p91,False
a7005408810,p91,False
a56685601500,p92,True
a16549438300,p92,False
a56685789300,p92,False
a57212757453,p92,False
a57212871890,p92,False
a57215487696,p92,False
a16548815300,p92,False
a7202875039,p92,False
a6701383359,p92,False
a57191570988,p93,True
a57201357657,p93,False
a6602649851,p93,False
a57214937519,p94,True
a57210289242,p94,False
a57192710054,p94,False
a6701720294,p94,False
a57211516485,p94,False
a57219015425,p95,True
a55813139600,p95,False
a57203836305,p95,False
a57219009389,p95,False
a57219005376,p95,False
a57219006078,p95,False
a12142543700,p95,False
a57218481091,p96,True
a57217024741,p96,False
a57218482479,p96,False
a34873482400,p97,True
a6507317548,p98,True
a54781821400,p99,True
a57215052018,p99,False
a57215058041,p99,False
a7102975249,p99,False
a56957771800,p100,True
a57189235340,p100,False
a57204469757,p100,False
a7003292762,p100,False
a57188691775,p101,True
a57188173800,p101,False
a36349287300,p101,False
a57202579348,p102,True
a57214718289,p102,False
a56830076500,p102,False
a57193706327,p103,True
a57193715705,p103,False
a7202282831,p103,False
a7003302831,p103,False
a16066928300,p103,False
a57188833818,p104,True
a57209881955,p104,False
a6701720294,p104,False
a57212345817,p104,False
a57218689472,p105,True
a57218687826,p105,False
a57218685971,p105,False
a7006533953,p105,False
a57211516485,p105,False
a57188833818,p106,True
a57209881955,p106,False
a57209889565,p106,False
a6701720294,p106,False
a56045493000,p106,False
a57217866402,p107,True
a8244752200,p107,False
a55727966500,p107,False
a57217871738,p107,False
a57218270296,p108,True
a57218269408,p108,False
a6507317548,p108,False
a56215007300,p109,True
a50162863000,p109,False
a55422614200,p109,False
a6603288835,p109,False
a13405030000,p109,False
a55904183100,p109,False
a55279219900,p109,False
a57211205845,p109,False
a38662818500,p109,False
a57203219105,p109,False
a14059027500,p109,False
a6505524737,p109,False
a20735824800,p109,False
a7103004161,p109,False
a56830076500,p110,True
a57202612841,p110,False
a10640480600,p110,False
a36499438800,p110,False
a55860312700,p110,False
a57201618074,p111,True
a6506325894,p111,False
a8608764300,p111,False
a7003772744,p111,False
a56957771800,p112,True
a57189235340,p112,False
a57204470823,p112,False
a57204469757,p112,False
a7003292762,p112,False
a57204469757,p113,True
a7003292762,p113,False
a57211518929,p114,True
a56036628100,p114,False
a16033650300,p114,False
a57195804520,p115,True
a24483038000,p115,False
a6701720294,p115,False
a57211516485,p115,False
a57189375802,p116,True
a57212455523,p116,False
a6603286802,p116,False
a57023931200,p116,False
a24830555500,p116,False
a6602776615,p116,False
a9277159100,p116,False
a56857577200,p117,True
a10141271600,p117,False
a16643231700,p117,False
a55359090100,p117,False
a8244752200,p118,True
a57217872286,p118,False
a57217867341,p118,False
a36893877000,p118,False
a57189218211,p119,True
a48361087900,p119,False
a7003381644,p119,False
a7005241866,p120,True
a7006815587,p120,False
a36154754400,p120,False
a57190402922,p121,True
a36668159600,p121,False
a7006542177,p121,False
a57193226888,p122,True
a57216966389,p122,False
a57208015963,p122,False
a57193230951,p122,False
a56584993700,p122,False
a55367023500,p122,False
a7403329173,p122,False
a57204964732,p123,True
a12544690900,p123,False
a7003292762,p123,False
a54978625300,p123,False
a57201759181,p124,True
a57211516485,p124,False
a16548784600,p124,False
a8922674200,p124,False
a55764938300,p125,True
a6701550039,p125,False
a6506328689,p125,False
a57201947722,p126,True
a57209567638,p126,False
a57209581042,p126,False
a55845968200,p126,False
a14831622300,p126,False
a12646372900,p126,False
a55788214400,p126,False
a57219330558,p127,True
a57219332168,p127,False
a57219327922,p127,False
a14831622300,p127,False
a55220932600,p127,False
a55788214400,p127,False
a56263319900,p128,True
a55436436900,p128,False
a57218480110,p128,False
a7004688501,p128,False
a35209941000,p128,False
a7601550121,p128,False
a57201735120,p129,True
a57216287696,p129,False
a57216287324,p129,False
a6506462706,p129,False
a8357777200,p129,False
a7004945584,p129,False
a16033650300,p130,True
a9741060000,p130,False
a12143690400,p130,False
a57208015244,p130,False
a57052262900,p130,False
a57204944822,p130,False
a7102369425,p130,False
a6603460787,p130,False
a6603089864,p130,False
a12761902000,p130,False
a56036628100,p130,False
a9279493200,p130,False
a57194034271,p131,True
a53866135200,p131,False
a55315026400,p131,False
a57216076371,p131,False
a56818839700,p131,False
a23570183200,p131,False
a57215823167,p131,False
a57216048774,p131,False
a7202049689,p132,True
a57207774891,p132,False
a57213342768,p132,False
a7006410098,p132,False
a56206655300,p133,True
a55368982000,p133,False
a56078804700,p133,False
a57216040137,p133,False
a7102391180,p133,False
a7402406630,p133,False
a7004398165,p133,False
a6701655006,p133,False
a35103143500,p133,False
a57216037206,p133,False
a7801550098,p133,False
a14832404400,p133,False
a55559344500,p134,True
a6701910642,p134,False
a56221719300,p135,True
a57210161259,p135,False
a57203181568,p135,False
a57212304730,p135,False
a55458271500,p135,False
a56266132600,p135,False
a57210289242,p136,True
a6701720294,p136,False
a57211516485,p136,False
a57209399454,p137,True
a6602649851,p137,False
a6701863708,p137,False
a9245406100,p137,False
a57194053456,p138,True
a56968013300,p138,False
a6701746882,p138,False
