idC,conference
c95,"AIAA/ASCE/AHS/ASC Structures, Structural Dynamics, and Materials Conference, 2018"
c96,"AIAA Aerospace Sciences Meeting, 2018"
c97,Proceedings of the 27th USENIX Security Symposium
c98,"2018 Solid-State Sensors, Actuators and Microsystems Workshop, Hilton Head 2018"
c99,"26th International Congress on Large Dams, 2018"
c100,Transactions of the American Nuclear Society
c101,"Proceedings of the 20th International Conference on Engineering and Product Design Education, E and PDE 2018"
c102,"2018 Aviation Technology, Integration, and Operations Conference"
c103,International Conference on Transportation and Development 2018: Traffic and Freight Operations and Rail and Public Transit - Selected Papers from the International Conference on Transportation and Development 2018
c104,International Heat Transfer Conference
c105,"2018 ASDSO - Dam Safety, Conference Proceedings"
c106,Proceedings of the International Masonry Society Conferences
c107,33rd Technical Conference of the American Society for Composites 2018
c108,Pacific Symposium on Biocomputing
c109,"Wind Energy Symposium, 2018"
c110,"2018 Spring Technical Meeting of the Western States Section of the Combustion Institute, WSSCI 2018"
c111,2018 AIAA/CEAS Aeroacoustics Conference
c112,Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE
c113,"2018 Joint Rail Conference, JRC 2018"
c114,"AIAA Spacecraft Structures Conference, 2018"
c115,"AIAA Modeling and Simulation Technologies Conference, 2018"
c116,"Pipelines 2018: Utility Engineering, Surveying, and Multidisciplinary Topics - Proceedings of Sessions of the Pipelines 2018 Conference"
c117,Environmental Division 2018 - Core Programming Area at the 2018 AIChE Annual Meeting
c118,"Pipelines 2018: Condition Assessment, Construction, and Rehabilitation - Proceedings of Sessions of the Pipelines 2018 Conference"
c119,"Proceedings - IEEE International Conference on Data Mining, ICDM"
c120,IEEE International Conference on Intelligent Robots and Systems
c121,IEEE Sensors Journal
c122,"Proceedings - 2017 IEEE Cybersecurity Development Conference, SecDev 2017"
c123,"1st Annual IEEE Conference on Control Technology and Applications, CCTA 2017"
c124,IEEE MTT-S International Microwave Symposium Digest
c125,IEEE International Conference on Rehabilitation Robotics
c126,"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017"
c127,Proceedings - IEEE International Conference on Robotics and Automation
c128,"2017 17th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2017"
c129,"Proceedings - 2017 IEEE 17th International Conference on Bioinformatics and Bioengineering, BIBE 2017"
c130,"11th Annual IEEE International Systems Conference, SysCon 2017 - Proceedings"
c131,"2016 IEEE Photonics Conference, IPC 2016"
c132,"AIAA Information Systems-AIAA Infotech at Aerospace, 2017"
c133,ICCM International Conferences on Composite Materials
c134,Proceedings of the 26th USENIX Security Symposium
c135,"30th International Technical Meeting of the Satellite Division of the Institute of Navigation, ION GNSS 2017"
c136,"Proceedings of the 19th International Conference on Engineering and Product Design Education: Building Community: Design Education for a Sustainable Future, E and PDE 2017"
c137,10th U S  National Combustion Meeting
c138,CAMX 2017 - Composites and Advanced Materials Expo
c139,"2017 Fall Technical Meeting of the Western States Section of the Combustion Institute, WSSCI 2017"
c140,Computing and Systems Technology Division 2017 - Core Programming Area at the 2017 AIChE Spring Meeting and 13th Global Congress on Process Safety
c141,AAAI Workshop - Technical Report
c142,IGLC 2017 - Proceedings of the 25th Annual Conference of the International Group for Lean Construction
c143,"Carbon Management Technology Conference, CMTC 2017: Global CCUS Innovation Nexus"
c144,"35th Wind Energy Symposium, 2017"
c145,Society of Petroleum Engineers - SPE Bergen One Day Seminar 2017
c146,"23rd AIAA/CEAS Aeroacoustics Conference, 2017"
c147,AIAA SciTech Forum - 55th AIAA Aerospace Sciences Meeting
c148,Mechanisms and Machine Science
c149,International Symposium on Advances in Computational Heat Transfer
c150,"AIAA SPACE and Astronautics Forum and Exposition, SPACE 2017"
