idA,name
a57195960835,Nittala S 
a57203300120,Howland S 
a13607032600,Jesiek B 
a57209399640,Tyler J 
a57212167791,Gatrell C 
a57209394752,Howard D 
a57211217749,Gibbons J D 
a57203661821,Lusk P C 
a46961076700,Glaab P C 
a7801515665,Glaab L J 
a57208012133,Wagstaff K B 
a57208012227,Black R 
a55698505100,Black J A 
a57203308821,Hueros R A R 
a55326143600,Parks J W 
a57212351859,Goodson M 
a7404766197,Anderson M 
a57212271159,Stapleton T 
a57205765859,Owens T 
a7201511283,Webb B W 
a6602191934,Solovjov V P 
a57193878725,André F 
a57210949030,Patterson C 
a7404901361,Kelly J D 
a57210375461,Ba Q 
a55861508600,Li X 
a56484754900,Cheng L 
a6506942267,Lofthouse V 
a6602562656,Bhamra T 
a57202112010,Downing T 
a57202120923,Anderson S 
a57193360481,Wright L 
a57205767010,Haskell M 
a57205762391,Bowman E 
a35435170000,Lingwall B N 
a55665473200,Youd T L 
a57204677450,Blonquist J 
a57204677555,Liang J H 
a57204472177,Rowberry H C 
a56530707600,Noyce S G 
a54790496100,Craighead H G 
a26427694400,Jolly S 
a57190256209,Datta B 
a57191107247,Parthiban V 
a55664291100,Michael Bove V 
a7202317282,Katayama I 
a57192070840,Kobayashi M 
a57201700890,Gubaev K 
a57195574701,Podryabinkin E V 
a57215333932,Khah F S 
a34868658300,Rybkowski Z K 
a57215305002,Ray Pentecost A 
a7410171017,Smith J P 
a57215336161,Muir R 
a57201360985,Terry J S 
a57212351343,Whitaker J 
a57194859276,Vaughn A B 
a15766049500,Swift S H 
a7202538835,Downing J M 
a15044701600,James M M 
a57203579114,Barreto D 
a57203573476,Carilho M 
a57203570620,Domschke V 
a57216989927,Tilahun L E 
a57211502145,Gabriel Richardson J 
a6507803480,Steven Turley R 
a24330327900,Vance A 
a55634592700,Eargle D 
a36713489900,Jenkins J L 
a35725132100,Brock Kirwan C 
a36986090000,Anderson B B 
a57193722976,Nascimento M R 
a7005521036,Roman H R 
a55557218000,Abut F 
a7102443026,Akay M F 
a7403558004,George J 
a56790117900,Yellowhorse A D 
a57193911152,Fernquest S 
a55780846900,Palmer A 
a57203303999,Gammer B 
a57217139231,Hirons E 
a14064679200,Kendrick B 
a7405891981,Taylor A 
a57201739935,De Berker H 
a6508339625,Bangerter N 
a57213262958,Carr A 
a6506674242,Glyn-Jones S 
a57191362366,Zimmerman T K 
a57194018623,Calvin J J 
a57205236255,Rosen P F 
a57194101278,Ross N L 
a35392647700,Navrotsky A 
a57204968964,Bohman M 
a57205645397,Anderson J 
a55353164900,Cazzaniga C 
a7101816954,Frost C 
a57200527971,Elston E 
a11440678000,Schrand A 
a24337245000,Arashida Y 
a56023819400,Yamashita G 
a10639240900,Matsubara E 
a11043349200,Ashida M 
a54782837300,Lübeck A 
a8048702500,Mohamad G 
a57207228809,Milani A S 
a13411176900,Gou Y 
a57205595555,Peterson S 
a9336961600,Stephens K K 
a16425686200,Hughes A 
a57217471535,Purohit H 
a56577741600,Sen U 
a55807316700,Chatterjee S 
a7102317656,Ganguly R 
a57200514682,Yu L 
a7003388995,Megaridis C M 
a16229559200,Banik J A 
a57207993531,Villa J M 
a56560118600,Ayoubi P 
a57214608701,Roxanne Hiltz S 
a55598006500,Imran M 
a23668489900,Plotnick L 
a15848894300,Power R 
a57209871741,Turoff M 
a35380198000,Sato Y 
a57200723881,Yan D 
a7401952672,Rodríguez E 
a35556946600,Bourassa M 
a7004590414,Chelton D 
a43261827400,Thomas Farrar J 
a55428435400,Perkovic-Martin D 
a7004611313,Samelson R 
a7004507225,Lemonnier D 
a57193568214,Coelho F 
a6506341914,Consalvi J -L 
a7005053199,Franca F 
a55671352500,Galtier M 
a22952048100,Nmira F 
a6507447149,Pastusek P 
a23012428800,Payette G 
a56642521500,Shor R 
a24780432200,Cayeux E 
a55233755100,Aarsnes U J 
a7801636116,Menand S 
a7101973402,Macpherson J 
a35368447500,Gandikota R 
a7801530241,Behounek M 
a56689651300,Harmer R 
a7005786977,Detournay E 
a7801609389,Illerhaus R 
a55922401500,Liu Y 
a57191525048,Allender E J 
a41262329300,Orgel C 
a57203758421,Almeida N V 
a57203801188,Cook J 
a57203805526,Ende J J 
a57202763603,Kamps O 
a56116155300,Mazrouei S 
a57203801050,Slezak T J 
a57199854443,Soini A -J 
a56979909000,Kring D A 
a57205650285,Leavitt J C 
a56698926600,Lee D S 
a55627591500,King M 
a57205652485,Evans W 
a57193683516,Rice W 
a57202192401,Kim K M 
a57203191415,Russell B D 
a57203142381,Emerson P 
a57204916397,Duffy C 
a57204916190,Prugue C 
a57204910117,Glew R 
a57198809206,Smith T 
a57204925116,Howell C 
a57204911023,Choi G 
a55303499100,Bowen L 
a56577817900,Wilcox E 
a57189623841,Shrager A 
a7003678761,Frecker M I 
a6602997992,von Lockette P 
a7202539045,Simpson T W 
a55710750200,Temple K 
a6508087756,Chalfant T 
a57207110219,Ernst D 
a57214580514,Kahn C 
a57204110218,McGhin R F  III
a56549581200,Kern E 
a55259726700,Jensen J L 
a55256673100,Holt E A 
a57202609763,Sowards J B 
a6508265156,Heath Ogden T 
a56433927200,West R E 
a7404022739,Cox J J 
a7003352704,Tikare V 
a7102280128,Kurata M 
a34976725300,Haut T 
a6602423274,Wingate B A 
a57198044407,Huang X 
a55736791400,Wang X 
a7601492574,Wang Y 
a57203572325,Zhu Y 
a57201742316,Feeman S M 
a56463982900,Clavijo C E 
a55764401200,Stevens K 
a6602549459,Chahal J S 
a6602123531,Ghorpade S R 
a57193089338,Frank I W 
a57201086222,Desrochers C 
a26634282400,Prinz G S 
a57204595191,Shah D 
a57204607180,Patel D I 
a56226072000,Roychowdhury T 
a7003631423,Rayner G B 
a57204596520,O’Toole N 
a7103236401,Baer D R 
a57195264521,Loiseau J 
a57204829124,Lim H 
a35239803700,Bergen B K 
a37086141200,Moss N D 
a8329346700,Alin F 
a55369699900,Ni Q 
a57204830739,Hastings A 
a57204825465,Jensen S 
a7006372151,Hutchings B 
a57203192064,Davis B R 
a57203188827,Ford H 
a55619678900,Safdarnejad S M 
a57202852104,Barnwell N V 
a57202852946,Tryon J E 
a57202860730,Sadler A L 
a56701619800,Ding S 
a8369472600,Das S R 
a57193322440,Brownlee B J 
a56376235200,Parate K 
a57202237979,Davis T M 
a56702333100,Stromberg L R 
a7401994123,Chan E K L 
a35336731800,Katz J 
a23388379100,Claussen J C 
a57204695840,Larmore G 
a57204695450,Perrinsy E 
a56490084100,Boyce P 
a57204693186,Harrisony W K 
a57188711588,Henrie A 
a57200118672,Codling J R 
a57164754700,Gneiting S 
a57200117120,Christensen J B 
a57200121629,Burdette M J 
a55523036500,Burgett J M 
a56287595000,Perrenoud A 
a56426567600,Schinn S -M 
a57200181918,Long E A 
a16197655400,Hess B C 
a56703039000,Loney D A 
a39362193900,Pevey K C 
a57197749025,McAlpin J T 
a57201022887,Nelsen B W 
a57217564448,Hargis B H 
a57213462935,Peterson J R 
a57205507684,Perego A 
a57205503531,Shelley M 
a57194047397,Olsen C R 
a57205500882,Perez L D 
a57205505883,Hogg H L 
a57212277009,Watt R K 
a35587077000,Colton J S 
a57190849274,Jiang Z 
a55235047300,Poornejad N 
a56515354700,Momtahan N 
a57194105863,Salehi A S M 
a56921113900,Scott D R 
a57044630300,Fronk C A 
a7005654753,Roeder B L 
a56701050600,Reynolds P R 
a57203184524,Cramer J 
a57201465968,Adams D 
a56248395300,Brown T 
a57203180153,Misha R 
a7005486887,Sachdev A 
a34874038200,Wright G A 
a57201366662,Collins N S 
a57201358872,Farnsworth M S 
a7202006620,Shen T -C 
a57194679331,Anderson C M 
a57194686620,Thompson S K 
a35791260000,Whitty K J 
a57198333909,Roy J 
a56666222000,Kumar A 
a7103392045,Choudhury D 
a56009607700,Chanda A 
a57200525944,Ruchti T 
a57214792802,Upchurch W 
a57216486642,Lee J H 
a57203661089,Millard J D 
a57203982016,Bean M 
a57203992542,Wood D 
a57203980122,Frandsen D 
a57203980107,Burrow D 
a57204553875,Jensen T D 
a57204546854,Bresciano K A 
a57204555914,Dallon E 
a57204555396,Stewart E 
a6507235629,Griffitts J 
a57195398251,McMurray J 
a57201484423,Olsen M 
a57194155925,Orfila M 
a35792700800,Yeung E 
a39062086200,Salva K T 
a55658283500,Lund J 
a57203575128,Baskota A 
a56897186700,Lansinger V B 
a57197726868,Medina J 
a56261172000,Klein M 
a57203731804,Johnson M H 
a57203372448,Rendon G T 
a57203247682,Reynolds J 
a57202927332,Witzeman J S 
a7202608915,Henderson P 
a57202921889,Welling A G 
a7801604567,Cosner R 
a54581173100,Kimmons R 
a57202810627,Carpenter J P 
a18042644100,Veletsianos G 
a55943223600,Krutka D G 
a57204434337,Galan A M 
a56556056000,Hinton D 
a57196465311,Cope M 
a56740595400,Villanueva I 
a56662711400,Campbell B D 
a56741048000,Raikes A C 
a56149906900,Jones S H 
a6603615600,Putney L G 
a57189843306,Zeng M 
a56078900600,Holler B J 
a15081035500,Milam S N 
a7402814790,Bauer J M 
a7101806481,Alcock C 
a15318992700,Bannister M T 
a6601908712,Bjoraker G L 
a8077103900,Bodewits D 
a6602183163,Bosh A S 
a7004295901,Buie M W 
a7004640341,Farnham T L 
a35772366400,Haghighipour N 
a8390181000,Hardersen P S 
a23004910700,Harris A W 
a7003793778,Hirata C M 
a8578022500,Hsieh H H 
a9241584700,Kelley M S P 
a15842178900,Knight M M 
a10939408000,Kramer E A 
a54789941300,Longobardo A 
a7006650428,Nixon C A 
a7006817766,Palomba E 
a25937446600,Protopapa S 
a55895275900,Quick L C 
a16043716000,Ragozzine D 
a12647140500,Reddy V 
a7402364894,Rhodes J D 
a7004387103,Rivkin A S 
a8891726500,Sarid G 
a57192430052,Sickafoose A A 
a7401892754,Simon A A 
a23020214400,Thomas C A 
a6603882082,Trilling D E 
a7402396019,West R A 
a57031532300,Beauchamp M J 
a57203305966,Goettel C 
a55171433700,Weidman J E 
a57193603847,Bateman T C 
a57203309361,Palma L 
a35191151900,Ward C J 
a26427435500,Warnick G M 
a57203301406,Call M S 
a36602439100,Davies R 
a23096760600,Zephirin T 
a57203306132,Kim M D 
a57190808464,Katz A 
a6507028828,Zoltowski C B 
a6701460244,Frezza S T 
a6602928070,Pears A N 
a23479472600,Exter M 
a7404006200,Wright S I 
a57202800731,Nowell M W 
a14833931300,Cluff S 
a36667397700,Song R 
a57200118442,Whitehead N 
a57202289360,Wood Chiang S -H 
a57202322450,Qian Z 
a57202323019,Wan J 
a56795914000,Liu W 
a57202321033,Li X 
a57202319101,Baradoy D 
a23003484200,Clarke K D 
a26321508500,Coughlin D R 
a7003587356,Carsley J E 
a56457856600,Poon T C 
a16315369500,Gao H 
a6507336034,Kvavle J 
a56532087700,Qaderi K 
a57202602903,Christensen C 
a57202612703,Vasquez D 
a36843900000,Dennis E L 
a8397084400,Wilde E A 
a6602089995,Newsome M R 
a6603684079,Scheibel R S 
a15521088300,Troyanskaya M 
a56585583100,Velez C 
a55449746800,Wade B S C 
a57190247414,Drennon A M 
a7005085503,York G E 
a35228854600,Bigler E D 
a6505936159,Abildskov T J 
a23487261200,Taylor B A 
a7005412154,Jaramillo C A 
a55946643000,Eapen B 
a6603354235,Belanger H 
a57192063650,Gupta V 
a8602381900,Morey R 
a55249658600,Haswell C 
a57207782220,Levin H S 
a23987692400,Hinds S R 
a24323203800,Walker W C 
a7403220237,Thompson P M 
a7103286989,Tate D F 
a55708105800,Pohl M B 
a56164575400,Takahashi K Z 
a35236338800,Barrios J A 
a55212512700,Stan N 
a56680505500,King R 
a35323710800,Chen G 
a57202045558,Dodson B 
a56165315000,Hedges D M 
a7003387464,Steffensen S C 
a26039464700,Puleo C 
a56747755300,Galligan C 
a7005612595,Ashe J 
a56386056100,Brivadis E 
a56755464700,Wanik D 
a7005523706,Anagnostou E 
a57031532600,Hartman B 
a57200497294,Layton T 
a57190794386,Bird E 
a57201980753,Merrell J 
a57190797086,Rosquist P 
a57201983321,Martineau A 
a56181255300,Balijepalli S K 
a24177939700,Barker B 
a6507412888,Humpherys J 
a57204229694,Lyng G 
a55652903800,Lytle J 
a57201724099,Penaloza J 
a24465525600,Santos V J 
a57203246058,Kim D 
a35994294500,Bryden K M 
a24758929200,Maccarty N A 
a57201645135,Stringer B J 
a57201646242,Shumway S B 
a57200335858,Holbrook M D 
a57217508772,Copeland C G 
a57201650328,Gosch A A 
a7102837693,Kück K 
a55736845400,Wang X 
a57139150400,Yuan J 
a7402422734,Fang S 
a57218886189,Stanković A M 
a57203179434,Yuksel M C 
a57213087387,Tas F M 
a57202320825,Linn J 
a57207470751,Johnson J 
a7005098852,Schuh C A 
a56896919700,Gallacher J R 
a57190371042,Ripa B 
a7202035366,Butler B W 
a7102857304,Fletcher T H 
a23003275100,Chen J Y C 
a6604032598,Kayen R 
a9733496700,Kokusho T 
a6602866368,Hazarika H 
a26640997500,Dashti S 
a57203180948,Calderon J R 
a57203180667,Franke T K 
a25522430900,Oettle N K 
a56244956300,Wham B 
a57203192812,Louis-Kayen G P 
a57203180452,Sitar R 
a57203185550,Louis-Kayen N M 
a57200686665,Smith A K 
a57200685059,Wilkerson J W 
a56425409300,Bush D B 
a6603410853,Knotts T A 
a56040243400,Jamal A -S 
a17136347400,Unnikrishnan V 
a57193027820,Jung J M 
a7409879911,Kim C 
a56029648000,Harrison R G 
a55130094700,Chetty V 
a57193356353,Eves K 
a57200371154,Olsen J 
a56331127200,Shumway D 
a35269204800,Hepworth A 
a57203433787,Alvarez E J 
a57201393186,McDonnell T 
a57201397713,Mehr J 
a57215366913,Perdue T 
a57215344746,Collett T 
a57213476529,Gong H 
a57205629789,Hayden S 
a57205285400,Nygaard E 
a57145797800,Jackson J S 
a36944158600,Durfee D S 
a57204896057,Cardall H 
a57204902069,Larsen A 
a23093686000,Fry R 
a57203179871,Browning J S 
a57207688964,Nelson K 
a57207687563,Dye S 
a57200077021,Holtom J 
a57200077390,Walton P 
a57207692990,Smith J 
a57207687950,Wallin N 
a57207688651,Averett T 
a57207695326,Killpack M 
a57207687041,Rice M 
a57207686191,Thompson R 
a57207685496,Hull T 
a57207687043,Rice M 
a57209637810,Lee E T 
a57204762755,Sellers A D 
a57204728159,Packer R 
a57204719691,Prawitt D G 
a57204719621,Porter D 
a57197733505,Whiting T A 
a57197728435,Sawyer K B 
a57190858572,Walton M P 
a57204435650,Laughlin E 
a57204415715,Howe L 
a57193610705,Talbot M 
a15833172400,Rajnarayan D 
a36618663400,Custer C H 
a57194636792,Dearden J 
a55916540700,Grames C 
a57196484337,Orr J 
a57207228951,Dillon P B 
a57193727615,Eixenberger J G 
a7402549729,Jensen D W 
a57202088821,Machanzi T 
a56300864300,Stone B R 
a57190492863,Wald M O 
a18042274300,Richey M C 
a7403368068,Campbell C 
a57202916476,Campbell A 
a7201389702,Hansen N 
a16245460000,Hopkins B 
a57202920062,Evans S 
a57202911672,Campbell E 
a6602761720,Cobos D 
a57202607598,Russell D N 
a57196353469,Ishimwe E 
a38061138100,Coffman R A 
a57202585105,Lopez J S 
a24081598300,Vera-Grunauer X 
a57202572948,Salvatierra G 
a55898266700,Leslie Youd T 
a57202580740,Error B M 
a8724084200,Bush W S 
a7403085570,Crawford D C 
a14621428300,Briggs F 
a8667231600,Freedman D 
a24382111400,Sloan C 
a46062451500,Szymanski R 
a57188755995,Josephson A J 
a7005044056,Linn R R 
a56560099200,Abraham Martin R 
a57202738247,Heiner B K 
a55502104200,Micah Downing J 
a57203330644,Vaugh A B 
a55848648600,Hales Swift S 
a56256103500,Reichman B 
a55252859600,Hwang J T 
a23012466600,Migliaccio M 
a35578707100,Heron M L 
a8533888200,Brower D 
a57207365951,Wilson J C 
a6603042352,High G 
a6506484066,Witherow K 
a56263632000,Shen W 
a56263145300,Yan K 
a7103222266,Lopes C V 
a15069700700,Riding K A 
a7005531426,Peterman R J 
a57203180502,Guthrie S 
a15843313300,Brueseke M 
a57203186135,Mosavi H 
a57203188461,Daily K 
a57203192544,Risovi-Hendrickson W 
a55182745600,Amoroso S 
a57195292516,Lusvardi C 
a19934211900,Monaco P 
a6603866674,Milana G 
a57202577089,Morales C 
a6505761847,Ledezma C 
a36125615300,Sáez E 
a36625254200,Hahn A 
a57201333744,Tamini A 
a35479684000,Das S K 
a56328064900,Putney L 
a57191616632,Zhang J 
a7202713087,Field D P 
a57202152391,Ruzindana M 
a7003609448,Jeffs B D 
a57197521815,Black R A 
a57201658993,Burnett M 
a7004347500,Pisano D J 
a7007155092,Lorimer D R 
a55286783200,Pingel N 
a57120014600,Rajwade K 
a6602913811,Prestage R M 
a55452524500,White S 
a57212833949,Simon B 
a57206024435,Hawkins L 
a6507270351,Shillue W 
a6602305778,Roshi D A 
a56218368600,Akamine M 
a55837442300,Okamoto K 
a7202751866,Teramoto S 
a6506010179,Okunuki T 
a35873737200,Tsutsumi S 
a37113017300,Savidis N 
a55919211300,Bove V M 
a57202785989,Lane S 
a56020026900,Clark M R 
a57202743127,Jafek B 
a36162907100,Eicholtz M 
a57202741808,Hendershott J 
a57007514800,Johnson C 
a8410729500,Bolme D 
a16043812000,Santos-Villalobos H 
a56244640900,Kovacevic A 
a57204902241,Tarnok Z 
a55543519800,Jagadeesh C 
a56237456900,Read M 
a57200649104,Horak P 
a57208645178,Leto A 
a56890778700,Seaman C H 
a56094587000,Kipp R M 
a56890178400,Tang H H 
a55806548500,Bentley N L 
a56890669600,Le S Q 
a36082483100,Baird G M 
a57217723923,Guillou J 
a50262207100,Lavadiya D N 
a6602335448,Fronk T 
a7006253705,Ban H 
a56797372300,Russell C S 
a57190380741,Bhat S K 
a7102402058,Kress J D 
a42261332500,Freeman C J 
a56397285100,Jiang Y 
a56542307500,Morgan J C 
a34168247900,Sahawneh L R 
a57194787481,Wikle J K 
a57203298908,Kaleo Roberts A 
a56380927900,Spencer J C 
a57189026693,Radzinski T 
a57202626673,Luna A 
a57202627167,Budd R 
a57202627912,Besendorfer J 
a57202627263,Hatch C 
a57202627050,Han J 
a16021781200,Gladstone R 
a7004403207,Folkman S 
a56631537800,Sgobba T 
a56528475200,Watts-Englert J 
a56182798800,Woods D D 
a7201529681,Patterson E S 
a55801905300,Dittemore G 
a55801836400,Bertels C 
a57201111301,Poussin H 
a57201111988,Rochas L 
a14620010300,Vallée T 
a8674222900,Bertrand R 
a12799657800,Haber J M 
a57003792300,Chen Y -F 
a24492691800,Wang K -A 
a57201290781,Rahman L O A 
a55601054600,Chung W -S 
a57207980336,Sanchez D G 
a57207994872,Tamashasky B 
a6602512004,Radebaugh J 
a35320703200,Ventra D 
a7402095346,Lorenz R D 
a7006106739,Farr T 
a7201778289,Kirk R 
a7201978585,Hayes A 
a54684688700,Malaska M J 
a57023282300,Birch S 
a55598549000,Liu Z Y -C 
a57210198577,Lunine J 
a7402288130,Barnes J 
a25958165500,Le Gall A 
a8362122100,Lopes R 
a6701580763,Stofan E 
a7203069877,Wall S 
a7003915889,Paillou P 
a55776361200,Villalon-Reina J E 
a37664688000,Ching C R K 
a57205556489,Kothapalli D 
a8691490200,Sun D 
a55628341300,Nir T 
a57201125120,Lin A 
a47461179000,Forsyth J K 
a25930868900,Kushan L 
a57194639611,Vajdi A 
a8717447000,Jalbrzikowski M 
a57194638369,Hansen L 
a55832864500,Jonas R K 
a6701774874,Van Amelsvoort T 
a55910450300,Bakker G 
a57207550410,Kates W R 
a6603383055,Antshel K M 
a9741422500,Fremont W 
a35236206700,Campbell L E 
a7005089148,McCabe K L 
a57202326782,Daly E 
a55979578600,Gudbrandsen M 
a7401764127,Murphy C 
a7404062227,Murphy D 
a7103269626,Craig M 
a7103321645,Emanuel B 
a7005251917,McDonald-Mcginn D 
a9745660700,Ruparel K 
a6507586174,Roalf D 
a7103065698,Gur R E 
a57203234366,Schmitt J E 
a7202910012,Simon T J 
a9236660300,Goodrich-Hunsaker N J 
a57195976340,Durdle C A 
a54899597300,Doherty J 
a57201121062,Cunningham A C 
a6701851503,Van Den Bree M 
a7102905437,Linden D E J 
a36044041500,Owen M 
a57202194800,Moss H 
a8517650500,Jahanshad N 
a6701387944,Bearden C E 
a57201212051,Sanders S 
a23060352300,Giraud-Carrier C 
a55258864700,Hogge J W 
a7005371369,Giles N F 
a7006085792,Rowley R L 
a55665625900,Wilding W V 
a24335536400,Martin S R 
a40561545600,Merrell A J 
a7006001488,Christensen W F 
a6701752452,Dromey C 
a57200248178,Black K M 
a57196000820,Ahmad W 
a57195995765,Yang Y 
a7004450337,Zumbrun K 
a7402004420,Campbell K S 
a6602231941,Amare N 
a57197730899,Kane E 
a7101816438,Manning A D 
a56810920600,Naidoo J S 
a55764744500,Aslani P 
a6603077820,Blotter J D 
a57217339723,Hoagland D 
a57140193000,Bustamante D 
a36011148100,Van Hoe B 
a56155127800,Oman K G 
a6506311950,Van Steenberge G 
a57196086981,Draper S R E 
a55981276700,Lawrence P B 
a57190261034,Billings W M 
a57196097542,Xiao Q 
a57196096093,Brown N P 
a57196088013,Bécar N A 
a57196086109,Matheson D J 
a57190252027,Stephens A R 
a55456759700,Price J L 
a57202280527,Brewer J 
a57202283319,Lee K 
a57198318094,Hollenbeck M 
a35195145200,Wamick K 
a57196275913,Cathey C 
a57196277369,Opra J 
a57211422454,Smith R 
a57192941583,Childs B R 
a6603945025,Christofferson J P 
a55249877500,Coombs D 
a57200860487,Bulloch R 
a57191256797,Chang D K 
a13605498800,Verbert K 
a56716068400,Thacker K S 
a57203230997,Ferguson S M 
a57191031931,Brusati M 
a37098602100,Camplani A 
a56424241200,Chen H 
a6701695863,Citterio M 
a7006631262,Lazzaroni M 
a56404157200,Takai H 
a7005836251,Comer D J 
a57195596864,Sorensen S T 
a57195596391,Hopman A 
a57195598039,Petersen M 
a57195595627,Basko R 
a57195600276,Ochsner S 
a57193015007,Collins G 
a57193015157,Tuttle N J 
a57193016069,Tracy J B 
a55859152500,Wheadon J 
a24081319400,Platt B C 
a57193435113,Kruman B A 
a57193430035,Nelson M C 
a57193433048,Hoybjerg T G 
a57192660307,Tuttle S C 
a57193429691,Myers S J 
a57193431261,Cook R B 
a57192964074,Killian M 
a57193362917,Oldroyd J 
a55674595800,Rombach I 
a56390719200,Park D 
a7102503611,Pollard T 
a57190974399,Broomfield J 
a54410814200,Lee T Y 
a56716946800,Smith A 
a6506645565,Elmqvist N 
a14035040300,Boyd-Graber J 
a10040303000,Findlater L 
a55949256500,Hurd R C 
a56875349800,Speirs N B 
a36106810300,Belden J 
a56875089300,Pan Z 
a57198431633,Lovett B 
a57198450286,Robinson W 
a57198443855,Zamora M A 
a57198451372,Sharker S I 
a54911216200,Mansoor M M 
a57195332895,Merritt A 
a14822519000,Truscott T T 
a56315352000,Shumway L 
a56492379200,Wall T 
a57192307368,Davidson A D 
a57197800472,Pigg A C 
a57197797367,Curtis C P 
a56453304300,Jandron M A 
a57194875876,Tate Fanning D 
a7005666650,Bower A F 
a35186389400,Senic D 
a7406552522,Williams D F 
a7006715937,Remley K A 
a57192595504,Wang C -M 
a7101643443,Holloway C L 
a55511230900,Yang Z 
a24465414600,Palmer J 
a26644144000,Lavin C 
a55547115089,Nelson T 
a57193564939,Ahn E -Y 
a54399816500,Das H 
a55726346900,Hong S -T 
a55585953300,Han K -S 
a8935514400,Lee K -J 
a56762988100,Park J -W 
a7401969039,Han H N 
a6603040755,Red E 
a57192959498,Pedersen A 
a57192961253,Jones T 
a57197710678,Tolman S 
a57188688103,Wilson J P 
a57195420301,Bodily D M 
a7401970125,Allen T F 
a7103395611,Swift G 
a24831334500,Wong R 
a18038642000,Stone S E 
a57208709468,Garcia S E 
a57208710317,Wray K W 
a57208709846,Rowe W J 
a57170532300,Pfau K H 
a57208702517,Liu R 
a57208707588,Holden J 
a57208707585,Angeles A 
a6508147112,Willits B L 
a57208706948,Robinson K P 
a57021948900,Jafek A 
a55078951500,Bodily P M 
a57215280005,Jacobsen A J 
a6602958570,Snell Q 
a57214010282,Barrett L K 
a57189351639,Fan J 
a57194697486,Laughlin K 
a57194141209,Danforth E M 
a55376424100,Suvorov A 
a7006440923,Crandall K A 
a14057706900,Bybee S M 
a57195317234,Hurst W 
a7102534973,Parkinson A R 
a57195962821,Patrick B 
a6507659000,Helps R G 
a57195962037,Sutton M 
a57195964820,Hasler E 
a57195961036,Williams J L 
a57195964763,Irvin J J 
a57195961251,Hirt J R 
a55672496100,Ziegenfuss D H 
a35413539100,Roberts M W 
a57190806425,Fuentes D S 
a36536647200,Claussen S 
a57198919773,Martínez A 
a54787829800,Hube M A 
a56672834700,Staves D R 
a6603625990,Red W E 
a57193008289,Zhang W 
a57192816311,Renouard J 
a55550262000,Wang N 
a36167063600,Makhmalbaf A 
a55550264900,Srivastava V 
a7006420570,Hathaway J E 
a57192156100,Lorenzo G 
a36675881600,Tew K 
a35366248300,Gomez H 
a57193845336,Kleinbaum S 
a57193533805,Boettcher E 
a23983490300,Ruokolainen R 
a26323686000,Lee M -G 
a57194162490,Hammon S 
a57194158491,Zacheu G 
a35182844400,Du K 
a57217654846,Cai H 
a57192893058,Park M 
a55544941800,Alfson K J 
a7202812767,Griffiths A 
a6603907334,Carrion R 
a7103123753,Mathies R A 
a55945072200,Prince D 
a55944583700,Shen C 
a35099253600,Parent J R 
a56364369100,Qi C 
a57202367046,Li Y 
a57193409777,Badger P 
a57193401477,Yu H 
a56896749800,You Z 
a55877167500,Yan X 
a56247393100,Liu W 
a7404963860,Shi Y 
a37105487900,Xia T 
a7403361614,Dong J 
a52663627000,Huang C 
a14321763900,Du Y 
a57195340095,Mishra R K 
a57193099661,Embley J S 
a57194047820,Henrichsen A M 
a55938156500,Smith T J 
a57194061052,Maxfield J H 
a56080900100,Erickson S D 
a57196655805,Buck D C 
a15831070600,Bowman K E 
a35615891900,Jensen C G 
a12646129300,Xing C 
a36933855300,Jensen C 
a55812858700,Copeland C G 
a57203178543,Lewis R V 
a7403131979,Hamada M S 
a7103186661,Steiner S H 
a7202711709,MacKay R J 
a39862017300,Reese C S 
a57194015684,Willoughby D 
a57194006378,El-Essawi M 
a35316779800,Baskaran R 
a6508342170,Alanoly J 
a57189227384,McDonald S J 
a19639917400,Colton M B 
a57189219942,Alder C K 
a57193266780,Penner J F 
a56941526100,Eaton A N 
a56710953300,George M W 
a7005883030,Huffaker R 
a55194109800,Sun G 
a7004834766,Hewson J C 
a57192106462,Kim J -R 
a56012868500,Jeong Y -H 
a57190189579,He J 
a8372868700,Astitha M 
a55946345200,Frediani M E B 
a55574195279,Rose M A 
a56608873500,Carter V 
a56608333500,Brown J 
a7004980415,Shumway S 
a6506269903,Vermeltfoort A T 
a23134948300,Martens D R W 
a7004615647,Lourenço P B 
a23973526000,Ni R 
a56369566500,Pendlebury J 
a57193265581,McEwen B 
a24921842300,Liarte D B 
a55034648400,Posen S 
a25222495900,Catelani G 
a6601987763,Liepe M 
a7004441442,Sethna J P 
a57190000029,McCall A J 
a55953141600,Balling R J 
a51461758000,Niedfeldt P C 
a56825569600,Ingersoll K 
a7005903021,Archibald J L 
a12808778700,Ames D P 
a36240601900,Khoshniat A 
a57189030360,Yekan T 
a16027856900,Baktur R 
a35213554500,Johnson M A 
a23012861700,Noble P 
a55444802600,Rodrigues L M 
a55326050200,Ozcelik D 
a57212184217,Rahman M 
a57189292901,Duffield M O 
a36137344800,Laycock R G 
a55486520500,Fernelius M H 
a56950317400,Wilding P R 
a15521557600,Memmott M J 
a57209397116,O’Neill M 
a57212209717,Bunker D 
a57191997521,Hendershot T 
a57200659857,Richard F R Y 
a57200641848,Briscoe T 
a57117361200,Stark C G 
a57192010162,Willett K 
a57214281810,Hill J C 
a55945088000,Fletcher M E 
a57202648414,Rhamati M 
a57188753800,Richards A P 
a57202642302,Shutt T 
a57191474405,Buckmiller E 
a57191477766,Schaumann L 
