idA,name
a56371366400,Fujimoto M S 
a57202818911,Lyman C A 
a7102523474,Clement M J 
a7003927879,Bunimovich L 
a57217245563,Passey D J 
a57198519795,Smith D 
a55100119300,Webb B 
a39861044100,Borden M J 
a36708895400,Thomas D C 
a57210419894,Yu M 
a14059209700,Zhang D 
a7406665619,Lee D -J 
a7201793184,Desai A 
a56692412900,Gunnarsson A 
a57211105311,Andersson K 
a7202518970,Adams B R 
a12445742400,Fredriksson C 
a57218836048,Peters W 
a57194504247,Jones T 
a7202040335,Efimov A 
a14631026900,Pedersoli E 
a55159798000,Foglia L 
a54941111500,Mincigrucci R 
a55258876800,Nikolov I 
a7006038251,Trebino R 
a20735824800,Sandberg R 
a55846910700,Danailov M 
a6602657620,Capotondi F 
a14033765300,Bencivenga F 
a13005462200,Bowlan P 
a55770396700,Frazer D 
a23099630500,Hosemann P 
a57215680724,Warr C 
a57205652801,Valdoz J C 
a57195427378,Bickham B P 
a57215684781,Knight C J 
a57215687139,Franks N A 
a57215697686,Chartrand N 
a56251876800,Van Ry P M 
a7202687601,Christensen K A 
a56514586700,Cook A D 
a57197765353,Stevenson P D 
a57188681207,Hyatt P 
a36349287300,Killpack M D 
a57189235340,Keller A 
a55547123342,Anderson J 
a25639041400,Wen S -J 
a55967471000,Fung R 
a57218221803,Chambers C 
a56387524600,Ganjalizadeh V 
a57202735625,Wright J G 
a7003381644,Warnick K F 
a6701834327,Selvan K T 
a57202445593,Fistler M 
a7004609408,Kerstein A 
a8660143800,Lignell D O 
a6506736843,Oevermann M 
a6507359986,Shamsabadi A 
a57214365851,Schwicht D E W 
a57212088299,Dasmeh A 
a7003663333,Rollins K M 
a6602889035,Taciroglu E 
a57216181629,Manandhar K 
a36245410800,Ren Y 
a57191110417,Stasak D 
a56622088300,Hou H 
a57195921912,Kirsch D 
a57215904613,Sarker S 
a7402756644,Mehta A 
a57217317667,Sardar S 
a57195591421,Xiao M 
a57217789464,Weaver J L 
a57216183270,León C 
a57207901363,Hart G 
a34873697600,Sunaoshi T 
a56767836200,Lemmon J P 
a7102900497,Takeuchi I 
a57196422740,Howell R G 
a7403518015,Jensen R R 
a36852156000,Petersen S L 
a16245238300,Larsen R T 
a57202776341,Bahari M 
a57212879455,Malmberg M A 
a57212877661,Brown D M 
a57212877401,Hadi Nazari S 
a35262249500,Lewis R S 
a7102405529,Watt G D 
a57212107391,Petrie A 
a57216754583,Kinnison W 
a8342785400,Layton K 
a57190228554,Taysom B S 
a7102879142,Sorensen C D 
a57211891331,Guo Z 
a57199244740,Zhang M 
a57204433875,Simons T 
a57215212754,Fuller S G 
a57215211789,McCown A S 
a57214076898,Clayton M F 
a57198146081,Bilodeau R A 
a7006441571,Bowden A E 
a57191873151,Ziaee M 
a57216430816,Mahmood A 
a55971908500,Jin M 
a54415193700,Zhu B 
a56489679500,Mo J 
a55522618700,Yang Z 
a55864283000,Zhang X 
a57209110872,Wu R 
a57206455220,Beutler J 
a7103248108,Baxter L L 
a57191108291,Morgan W S 
a57212383793,Christensen J E 
a57212379321,Hamilton P K 
a57202904399,Jorgensen J J 
a7403279876,Campbell B J 
a6507391043,Forcade R W 
a57196261400,Kunzler J W 
a57214229367,Bartschi J M 
a57214855898,Schnepf P D 
a57215031057,Davis A 
a6701610428,Vanfleet R 
a7403218372,Jensen B D 
a57200515115,Kurniawan C 
a57194698845,Baird S 
a35409277700,Johnson O K 
a57193749678,Searle M 
a55457444300,Crockett J 
a6701863708,Maynes D 
a57201666213,Park J L 
a55694540600,Canizales K A 
a7003545107,Woodfield B F 
a13406135400,Stowers K J 
a57203017789,Smiley A J 
a6701609778,Plett G L 
a7005052477,Godfrey P C 
a8750608700,Allen G N 
a57214071214,Benson D 
a57193518829,Hansen L T 
a7006583274,Wagoner R H 
a55359526600,Lim H 
a56911636200,Carroll J D 
a55272011900,Zhou G 
a57203486012,Bong H J 
a57202293242,Ogbeibu S 
a57203024588,Emelifeonwu J 
a57160053200,Senadjki A 
a36006215900,Gaskin J 
a55944615300,Kaivo-oja J 
a57191995369,Chen K 
a57195515828,Horne R R 
a57211443769,Rich J T 
a57211435896,Bradley M W 
a7005408810,Pitt W G 
a56685601500,Wnorowska U 
a16549438300,Fiedoruk K 
a56685789300,Piktel E 
a57212757453,Prasad S V 
a57212871890,Sulik M 
a57215487696,Janion M 
a16548815300,Daniluk T 
a7202875039,Savage P B 
a6701383359,Bucki R 
a57191570988,Orme A D 
a57201357657,Soderquist D R 
a57210289242,Greenwood J R 
a57192710054,Butler J J 
a57219015425,Lystrup C 
a55813139600,George A 
a57203836305,Zobell B 
a57219009389,Boster K 
a57219005376,Childs C 
a57219006078,Girod H 
a57218481091,Ploeg S 
a57217024741,Gunther H 
a57218482479,Camacho R 
a34873482400,Skaggs P 
a6507317548,Fulda N 
a54781821400,Stout J M 
a57215052018,Baumgarten T E 
a57215058041,Stagg G G 
a56957771800,Cannon M J 
a57204469757,Perez-Celis A 
a57188691775,Best C M 
a57188173800,Rupert L 
a57202579348,Ong J 
a57214718289,Richards D 
a57193706327,Larsen J L 
a57193715705,McElderry J 
a57188833818,Pehrson N A 
a57209881955,Ames D C 
a57212345817,Ignaut B 
a57218689472,Broyles Z 
a57218687826,Talbot S 
a57218685971,Johnson J 
a7006533953,Halverson D M 
a57209889565,Smith S P 
a56045493000,Arya M 
a57217866402,Adamson M 
a8244752200,Schultz G G 
a55727966500,Saito M 
a57217871738,Stevens M D 
a57218270296,Pearce W 
a57218269408,Landers N 
a56215007300,Francom D 
a50162863000,Walters D J 
a55422614200,Barber J L 
a6603288835,Luscher D J 
a13405030000,Lawrence E 
a55904183100,Biswas A 
a55279219900,Biwer C M 
a57211205845,Banesh D 
a38662818500,Lazarz J 
a57203219105,Vogel S C 
a14059027500,Ramos K 
a6505524737,Bolme C 
a7103004161,Ahrens J 
a57202612841,Willey L C 
a36499438800,Garcia E 
a55860312700,Von Moll A 
a57201618074,Trapuzzano M 
a6506325894,Tejada-Martínez A 
a8608764300,Guldiken R 
a57204470823,Thurlow C A 
a57211518929,Gregg J F 
a56036628100,Anderson B E 
a16033650300,Remillieux M C 
a57195804520,Bilancia P 
a24483038000,Berselli G 
a57189375802,Park J 
a57212455523,Price C 
a6603286802,Pixton D 
a57023931200,Aghito M 
a24830555500,Nybø R 
a6602776615,Bjørkevoll K 
a56857577200,Leete K M 
a16643231700,Liu J 
a55359090100,Wall A T 
a57217872286,Galvez de Leon P 
a57217867341,Shahandashti S K F 
a36893877000,Chamberlin R 
a57189218211,Liu L 
a48361087900,Diao J 
a7005241866,Eckhardt B 
a7006815587,Doering C R 
a36154754400,Whitehead J P 
a57193226888,Huang Z 
a57216966389,Du X 
a57208015963,Chen L 
a57193230951,Li Y 
a56584993700,Liu M 
a55367023500,Chou Y 
a7403329173,Jin L 
a57204964732,James B 
a12544690900,Quinn H 
a54978625300,Goeders J 
a57201759181,Ling M 
a16548784600,Cao J 
a8922674200,Chen G 
a55764938300,Wilson P S 
a6701550039,Knobles D P 
a6506328689,Neilsen T B 
a57201947722,Manring L 
a57209567638,Pederson J 
a57209581042,Potts D 
a55845968200,Boardman B 
a14831622300,Mascarenas D 
a12646372900,Harden T 
a55788214400,Cattaneo A 
a57219330558,Samuelson C R 
a57219332168,Duffy-Deno C A 
a57219327922,Whitworth C B 
a55220932600,Tippmann J D 
a56263319900,Qu Y 
a55436436900,Shu W 
a57218480110,Qiu L 
a7004688501,Kuan Y 
a7601550121,Chang J S 
a57201735120,Bopp D G 
a57216287696,Taylor E 
a57216287324,Le K 
a6506462706,Schima S 
a8357777200,Hummon M T 
a7004945584,Kitching J 
a9741060000,Kaoumi D 
a12143690400,Ohara Y 
a57208015244,Stuber Geesey M A 
a57052262900,Xi L 
a57204944822,Schoell R 
a7102369425,Bryan C R 
a6603460787,Enos D G 
a6603089864,Summa D A 
a12761902000,Ulrich T J 
a9279493200,Shayer Z 
a57194034271,Cabas A 
a53866135200,Beyzaei C 
a55315026400,Franke K 
a57216076371,Koehler R 
a56818839700,Pierce I 
a23570183200,Stuedlein A 
a57215823167,Yang Z 
a57216048774,Christie S 
a7202049689,Tucker A L 
a57207774891,Zheng S 
a7006410098,Bohn R E 
a56206655300,Sacchi C 
a55368982000,Schlegel C 
a56078804700,Rossi T 
a57216040137,Noble M 
a7102391180,Ruggieri M 
a7402406630,Cheung K -M 
a7004398165,Marchese M 
a6701655006,Granelli F 
a35103143500,Popescu V 
a57216037206,Rice M 
a7801550098,Murroni M 
a14832404400,Conci N 
a55559344500,Allen M 
a6701910642,Shahgholian H 
a56221719300,Hunt J P 
a57210161259,Zhao E L 
a57203181568,Soltani M 
a57212304730,Frei M 
a55458271500,Nelson J A D 
a56266132600,Bundy B C 
a57209399454,Fanning D T 
a9245406100,Oliphant K 
